0,Albert Speer,3.0
2,Albert Speer Jr.,3.0
3,Albert Friedrich Speer,3.0
8,Arkitektur i Nazityskland,3.0
25,Spandaufängelset,3.0
4,Transportflotte Speer,2.0
19,Rudolf Wolters,2.0
34,Volkshalle,2.0
1,Legion Speer,1.0
26,Posenkonferensen,1.0
27,P-1000,1.0
28,Obersalzberg,1.0
29,Berghof,1.0
30,Gitta Sereny,1.0
31,Karl Saur,1.0
32,Nationalsozialistisches Kraftfahrkorps,1.0
33,Welthauptstadt Germania,1.0
37,Fritz Todt,1.0
40,Albert Ganzenmüller,1.0
41,Axelmakternas ledare i andra världskriget,1.0
43,Siegesallee,1.0
45,Heinrich Tessenow,1.0
46,Fyraårsplanen,1.0
49,Rikskansliet i Berlin,1.0
5,Speers Creek,0.0
6,Speers,0.0
7,Blake Speers,0.0
9,Emory Speer,0.0
10,Vee Speers,0.0
11,"Speers, Pennsylvania",0.0
12,Chli Speer,0.0
13,Speers Lake,0.0
14,Speers Island,0.0
15,Lophoblatta speerae,0.0
16,Speer (berg i Schweiz),0.0
17,Joachim Fest,0.0
18,Speers Creek (vattendrag i Australien),0.0
20,Speer Island,0.0
21,Speers Point Park,0.0
22,Speers Slough,0.0
23,Speers Creek (vattendrag i Kanada),0.0
24,Polykrati,0.0
35,Arkitektens mage,0.0
36,Sidbena,0.0
38,Hitlerjugends hedersutmärkelse,0.0
39,Världsutställningen i Paris 1937,0.0
42,Arno Breker,0.0
44,Sebastian Koch,0.0
47,André Hennicke,0.0
48,Tiergarten (stadsdel),0.0
