0,Filip och Fredrik,3.0
1,Breaking News med Filip och Fredrik,3.0
2,Alla mot alla med Filip och Fredrik,3.0
3,Vem kan slå Filip och Fredrik,3.0
4,Söndagsparty med Filip & Fredrik,3.0
5,Anders Adali,1.0
6,Filip Hammar,2.0
7,Fredrik Wikingsson,2.0
8,Nexiko,3.0
9,High Chaparall,3.0
10,Lista över avsnitt av Vem kan slå Filip och Fredrik,3.0
11,Lars Beckung,1.0
12,The Filip and Fredrik podcast,3.0
13,Stockholm-Köpenhamn,1.0
14,Filip och Fredriks podcast,3.0
15,Ska vi göra slut?,3.0
16,La Bamba (TV-program),3.0
17,Lite sällskap,3.0
18,Jorden runt på 6 steg,3.0
19,Fredrik Hammar,0.0
20,Filip Vilhelm av Brandenburg-Schwedt,0.0
21,Nugammalt,2.0
22,Boston Tea Party (TV-program),3.0
23,Filip Berg,0.0
24,Filip,0.0
25,Filip av Schwaben,0.0
26,Racet till Vita huset,2.0
27,Kristallen 2012,2.0
28,Filip Benko,0.0
29,Fredrik Hierta,0.0
30,Kristoffer Triumf,1.0
31,Fredrik af Trampe,0.0
32,Kristallen 2009,
33,Hissen,2.0
34,Filip I,0.0
35,Filip Rogic,0.0
36,Alla mot alla,3.0
37,Filip Stiller,0.0
38,Claes Åkeson,1.0
39,Jan Myrehed,0.0
40,Fredrik Huldt,0.0
41,Edwin Johnsson,1.0
42,Grattis världen,3.0
43,Filip VI,0.0
44,Henrik Bastin,0.0
45,Filip den uppriktige av Pfalz,0.0
46,Karin Winther (programledare),1.0
47,Filip Hronek,0.0
48,Filip Chytil,0.0
49,Filip Chlapík,0.0
